"wmon","fmisid","station_name","lon","lat","elev"
2493,114294,"Soderarm",19.40889,59.75361,15
2496,114295,"Svenska Hogarna",19.50583,59.44444,12
2500,114297,"Nordkoster",11.00389,58.89194,35
2501,114298,"Vaderoarna",11.06611,58.57611,24
2505,114299,"Maseskar",11.33361,58.09417,16
2513,114302,"Goteborg",11.9925,57.71556,3
2518,114305,"Nidingen",11.90639,57.30389,2
2520,114306,"Satenas",12.71389,58.42889,54
2536,114309,"Rangedala",13.16694,57.785,299
2539,114310,"Ullared",12.77583,57.11361,122
2540,114311,"Kroppefjall-Granan",12.1975,58.60694,174
2542,114312,"Hallum",13.04056,58.32222,71
2546,114313,"Gardsjo",14.39056,58.87722,212
2548,114314,"Visingso",14.40861,58.09528,95
2549,114315,"Tomtabacken",14.4675,57.49833,356
2550,114316,"Jonkoping/Axamo",14.06917,57.75139,224
2552,114317,"Malexander",15.23611,58.07194,197
2554,114319,"Kettstaka",15.03028,58.71611,225
2556,114320,"Hagshult",14.14,57.2925,169
2557,114321,"Horn",15.86556,57.88639,91
2558,114322,"Kolmarden-Stromsfors",16.31056,58.68944,155
2559,114323,"Gladhammar",16.45861,57.70722,31
2562,114324,"Linkoping/Malmslatt",15.52583,58.39806,93
2563,114325,"Harstena",17.01056,58.25056,18
2567,114327,"Landsort",17.87194,58.74361,20
2574,114328,"Norrkoping",16.14694,58.58278,42
2575,114329,"Olands Norra Udde",17.09861,57.36722,4
2587,114332,"Farosund-Ar",18.95694,57.91694,13
2589,114333,"Gotska Sandon",19.19778,58.39444,17
2590,114334,"Visby",18.35,57.66667,47
2598,114337,"Ostergarnsholm",18.98444,57.44139,5
2605,114340,"Hallands Vadero",12.54722,56.44972,10
2607,114341,"Angelholm-Barkakra",12.84417,56.29778,37
2611,114343,"Helsingborg",12.76528,56.03056,44
2616,114344,"Falsterbo",12.81944,55.38389,5
2622,114346,"Ljungby",13.88222,56.85278,148
2623,114347,"Horby",13.66889,55.86333,114
2625,114348,"Skillinge",14.31722,55.48889,5
2628,114349,"Hano",14.84944,56.01389,60
2632,114350,"Utklippan",15.70778,55.95583,2
2635,114351,"Malmo",13.07361,55.57139,21
2644,114352,"Olands Sodra Udde",16.40361,56.19778,3
2648,114354,"Vaxjo",14.8325,56.84639,200
2661,114355,"Kosta (Orrefors)",15.47222,56.845,232
2664,114356,"Ronneby-Bredakra",15.26806,56.26694,58
2670,114357,"Kalmar",16.3,56.68333,4
2287,114359,"Holmon",20.86444,63.80694,8
2293,114360,"Skelleftea",21.07694,64.62472,44
2101,114361,"Hemavan",15.08278,65.80611,463
2443,114362,"Enkoping",17.11667,59.65,26
2516,114363,"Vinga",11.60472,57.63222,19
2545,114364,"Axstal",14.56667,58.56667,93
2095,114365,"Pajala",23.39,67.20361,166
2219,114366,"Gaddede A",14.22083,64.50444,555
2243,114367,"Junsele",16.95,63.68389,221
2267,114368,"Ornskoldsvik",18.97972,63.41167,100
2460,114369,"Stockholm-Arlanda",17.95083,59.62639,28
2526,114370,"Goteborg-Landvetter",12.29194,57.67611,155
2565,114371,"Malilla",15.80111,57.38444,98
2618,114372,"Torpup",13.06028,56.94944,135
2636,114373,"Malmo-Sturup",13.37889,55.52306,73
2141,114374,"Tjakaape",19.2,66.3,583
2449,114375,"Eskilstuna",16.45222,59.3825,12
2544,114376,"Karlsborg",14.50722,58.51361,94
2019,114377,"Katterjakk A",18.16806,68.42028,516
2081,114378,"Karesuando A",22.44361,68.44194,332
2119,114379,"Kvikkjokk Arrenjarka A",18.01972,66.88722,317
2126,114380,"Gunnarn A",17.69944,65.00944,277
2197,114381,"Haparanda A",24.11139,65.82361,15
2462,114382,"Uppsala University",17.63333,59.86667,13
2615,114383,"Falsterbo A",12.81667,55.38361,4
2679,114384,"Hoburg A",18.15056,56.92111,36
2327,114385,"Sveg A",14.40694,62.04611,359
2407,114386,"Malung A",13.70722,60.67639,305
2431,114387,"Kloten",15.25222,59.87028,284
2207,114388,"Storlien-Visjovalen A",12.12194,63.28278,585
2171,114389,"Boden",21.63444,65.80833,27
2498,114390,"Svenska Hogarna A",19.50222,59.44222,14
2561,114391,"Kvarn",15.43361,58.64028,74
2629,114392,"Hastveda",13.93778,56.27444,104
2667,114393,"Karlskrona-Soderstjerna",15.58667,56.14306,4
2210,114394,"Blahammaren A",12.17611,63.18639,1090
3488,114518,"Weybourne",1.1225,52.94944,21
3590,114534,"Wattisham",0.9575,52.12389,90
3684,114544,"Andrewsfield",0.45056,51.89611,87
3693,114545,"Shoeburyness_Landwic",0.82694,51.55472,2
3796,114565,"Langdon Bay",1.34333,51.13361,117
3797,114566,"Manston",1.33556,51.34639,49
3882,114588,"Herstmonceux_West En",0.31694,50.89944,52
6108,114793,"Koldingegnens Luftha",9.33361,55.4375,45
6169,114810,"Gniben",11.27833,56.00833,16
6181,114814,"Jægersborg",12.52639,55.76639,42
6235,114823,"De Kooij",4.78111,52.92694,1
6239,114824,"F3-Fb-1",4.69611,54.85389,24
6240,114825,"Amsterdam Ap Schiphol",4.78972,52.31722,-3
6242,114826,"Vlieland",4.92083,53.24,10
6249,114828,"Berkhout",4.97889,52.64278,-2
6251,114829,"Terschelling Hoorn Aws",5.34583,53.39111,2
6252,114830,"K13-A",3.22028,53.21778,31
6257,114834,"Wijk Aan Zee",4.60306,52.50528,9
6260,114835,"De Bilt",5.17972,52.09889,4
6267,114837,"Stavoren Aws",5.38333,52.89667,-1
6269,114838,"Lelystad Ap",5.51972,52.45722,-4
6270,114839,"Leeuwarden",5.75167,53.22306,2
6273,114840,"Marknesse Aws",5.8875,52.70194,-3
6275,114841,"Deelen",5.87222,52.05472,47
6277,114842,"Lauwersoog Aws",6.19917,53.41167,3
6278,114843,"Heino Aws",6.25889,52.43444,4
6279,114844,"Hoogeveen",6.57306,52.74889,17
6280,114845,"Eelde/Groningen Ap Eelde",6.58472,53.12361,4
6283,114846,"Hupsel Aws",6.65667,52.06778,29
6286,114848,"Nieuw Beerta",7.14917,53.19444,0
6290,114849,"Twente",6.89083,52.27306,35
6310,114851,"Vlissingen",3.59583,51.44139,10
6319,114857,"Westdorpe",3.86111,51.22472,3
6320,114858,"Lichteiland Goeree",3.67,51.92583,19
6321,114859,"Euro Platform",3.275,51.99778,18
6323,114860,"Wilhelminadorp Aws",3.88333,51.53333,1
6330,114862,"Hoek Van Holland",4.12167,51.99111,12
6340,114864,"Woensdrecht",4.34194,51.44778,17
6344,114866,"Rotterdam Ap Zestienhoven",4.44694,51.96056,-5
6348,114867,"Cabauw Tower",4.92583,51.96917,1
6350,114868,"Gilze Rijen",4.93528,51.565,13
6356,114869,"Herwijnen Aws",5.14528,51.85778,3
6370,114870,"Eindhoven Ap",5.37694,51.44972,22
6375,114871,"Volkel",5.70667,51.65833,21
6377,114872,"Ell Aws",5.7625,51.19667,30
6380,114873,"Beek/Maastricht Ap/Maastricht Aachen",5.76194,50.90528,113
6391,114874,"Arcen Aws",6.19611,51.49722,20
6400,114875,"Koksijde",2.6525,51.08806,7
6407,114876,"Oostende (Airport)",2.88722,51.20028,5
6428,114878,"Semmerzake",3.66972,50.94056,38
6432,114880,"Chievres",3.83139,50.57222,63
6449,114882,"Charleroi/Gosselies",4.44,50.45417,188
6450,114883,"Antwerpen/Deurne",4.45778,51.19028,13
6451,114884,"Brussels National (Airport)",4.52722,50.89639,55
6458,114887,"Beauvechain",4.76333,50.74556,123
6465,114889,"Schaffen",5.06194,50.99694,54
6478,114892,"Bierset",5.45556,50.64583,181
6479,114893,"Kleine Brogel",5.46278,51.16889,57
6496,114897,"Elsenborn",6.18139,50.48222,567
6414,115111,"Beitem",3.12167,50.90389,25
6418,115112,"Zeebrugge",3.20167,51.34722,9
6434,115113,"Melle",3.81583,50.98028,15
6459,115115,"Ernage",4.68917,50.58194,157
6464,115116,"Retie",5.02722,51.22139,21
6477,115118,"Diepenbeek",5.45028,50.91556,39
6204,115123,"K14-Fa-1c",3.62778,53.26944,28
6206,115124,"F16-A",4.01222,54.11667,28
6207,115125,"L9-Ff-1",4.96028,53.61444,30
